"bpmag-Gmag","bpmag-rpmag","bpmag-Jmag","bpmag-Hmag","bpmag-Kmag","Gmag-rpmag","Gmag-Jmag","Gmag-Hmag","Gmag-Kmag","rpmag-Jmag","rpmag-Hmag","rpmag-Kmag","Jmag-Hmag","Jmag-Kmag","Hmag-Kmag","class"
-0.0204,-0.0773,-0.1085,-0.1685,-0.1285,-0.0569,-0.0881,-0.1481,-0.1081,-0.0312,-0.0912,-0.0512,-0.06,-0.02,0.04,"B"
0.1349,0.3537,0.518,0.558,0.587,0.2188,0.3831,0.4231,0.4521,0.1644,0.2044,0.2334,0.04,0.069,0.029,"B"
0.0781,0.214,0.3677,0.3877,0.4197,0.1359,0.2895,0.3095,0.3415,0.1536,0.1736,0.2056,0.02,0.052,0.032,"B"
0.2419,0.6459,0.4538,0.6318,0.9158,0.4039,0.2119,0.3899,0.6739,-0.1921,-0.0141,0.2699,0.178,0.462,0.284,"B"
0.2449,0.6492,0.9949,1.2039,1.5339,0.4043,0.7499,0.9589,1.2889,0.3457,0.5547,0.8847,0.209,0.539,0.33,"B"
-0.0684,-0.0143,0.0869,0.1719,0.3799,0.0541,0.1553,0.2403,0.4483,0.1012,0.1862,0.3942,0.085,0.293,0.208,"B"
0.6168,1.3969,2.4886,2.7866,3.0366,0.7801,1.8718,2.1698,2.4198,1.0917,1.3897,1.6397,0.298,0.548,0.25,"B"
0.2777,0.7135,1.2225,1.4955,1.7685,0.4358,0.9448,1.2178,1.4908,0.509,0.782,1.055,0.273,0.546,0.273,"B"
0.017,0.0308,0.0054,0.0194,0.0474,0.0138,-0.0116,0.0024,0.0304,-0.0254,-0.0114,0.0166,0.014,0.042,0.028,"B"
-0.0561,0.0614,-0.4588,-0.1008,-0.0878,0.1175,-0.4026,-0.0446,-0.0316,-0.5202,-0.1622,-0.1492,0.358,0.371,0.013,"B"
0.7706,1.7065,3.1603,3.8043,4.1463,0.936,2.3897,3.0337,3.3757,1.4537,2.0977,2.4397,0.644,0.986,0.342,"B"
0.1485,0.3991,0.9291,1.0831,1.2991,0.2506,0.7806,0.9346,1.1506,0.53,0.684,0.9,0.154,0.37,0.216,"B"
0.2856,0.6981,1.4373,1.6333,2.0743,0.4125,1.1517,1.3477,1.7887,0.7392,0.9352,1.3762,0.196,0.637,0.441,"B"
0.0667,0.2388,0.4655,0.5455,0.6535,0.1721,0.3988,0.4788,0.5868,0.2267,0.3067,0.4147,0.08,0.188,0.108,"B"
1.0879,2.1625,3.9287,4.5377,4.9747,1.0746,2.8408,3.4498,3.8868,1.7662,2.3752,2.8122,0.609,1.046,0.437,"B"
-0.0111,-0.0208,0.1184,0.1724,0.3614,-0.0097,0.1296,0.1836,0.3726,0.1392,0.1932,0.3822,0.054,0.243,0.189,"B"
0.0621,0.1733,0.2993,0.2683,0.3383,0.1112,0.2372,0.2062,0.2762,0.126,0.095,0.165,-0.031,0.039,0.07,"B"
-0.0726,0.033,0.0406,0.2286,0.5686,0.1056,0.1132,0.3012,0.6412,0.0076,0.1956,0.5356,0.188,0.528,0.34,"B"
0.004,-0.0035,0.026,-0.03,-0.05,-0.0075,0.022,-0.034,-0.054,0.0295,-0.0265,-0.0465,-0.056,-0.076,-0.02,"B"
0.0208,0.0784,0.0159,-0.0161,0.0829,0.0577,-0.0049,-0.0369,0.0621,-0.0625,-0.0945,0.0045,-0.032,0.067,0.099,"B"
-0.0146,-0.0474,-0.1376,-0.1286,-0.0516,-0.0328,-0.1229,-0.1139,-0.0369,-0.0901,-0.0811,-0.0041,0.009,0.086,0.077,"B"
0.0119,0.0139,0.0815,0.0535,0.0785,0.002,0.0696,0.0416,0.0666,0.0676,0.0396,0.0646,-0.028,-0.003,0.025,"B"
-0.018,-0.0778,-0.1345,-0.2065,-0.1685,-0.0598,-0.1165,-0.1885,-0.1505,-0.0567,-0.1287,-0.0907,-0.072,-0.034,0.038,"B"
0.052,0.146,0.2914,0.3374,0.5014,0.0941,0.2394,0.2854,0.4494,0.1453,0.1913,0.3553,0.046,0.21,0.164,"B"
0.2867,0.7801,1.144,1.379,1.644,0.4934,0.8573,1.0923,1.3573,0.3639,0.5989,0.8639,0.235,0.5,0.265,"B"
0.1041,0.3134,0.728,0.875,1.105,0.2093,0.6239,0.7709,1.0009,0.4146,0.5616,0.7916,0.147,0.377,0.23,"B"
0.1531,0.4138,0.706,0.942,1.128,0.2607,0.5529,0.7889,0.9749,0.2923,0.5283,0.7143,0.236,0.422,0.186,"B"
0.4161,1.0183,1.7693,1.9463,2.2343,0.6022,1.3532,1.5302,1.8182,0.751,0.928,1.216,0.177,0.465,0.288,"B"
0.5037,1.1661,1.9749,2.2289,2.5549,0.6624,1.4711,1.7251,2.0511,0.8088,1.0628,1.3888,0.254,0.58,0.326,"B"
0.2975,0.7505,1.2582,1.3502,1.4642,0.453,0.9608,1.0528,1.1668,0.5078,0.5998,0.7138,0.092,0.206,0.114,"B"
0.3178,0.8285,1.4197,1.5137,1.6727,0.5108,1.1019,1.1959,1.3549,0.5912,0.6852,0.8442,0.094,0.253,0.159,"B"
0.1227,0.3348,0.6162,0.6762,0.7322,0.2121,0.4935,0.5535,0.6095,0.2814,0.3414,0.3974,0.06,0.116,0.056,"B"
-0.0023,-0.0238,0.0133,-0.0737,-0.0597,-0.0215,0.0156,-0.0714,-0.0574,0.0371,-0.0499,-0.0359,-0.087,-0.073,0.014,"B"
0.0414,0.1189,0.1715,0.1265,0.1605,0.0775,0.1302,0.0852,0.1192,0.0527,0.0077,0.0417,-0.045,-0.011,0.034,"B"
0.2796,0.7271,1.1084,1.4084,1.7364,0.4475,0.8288,1.1288,1.4568,0.3813,0.6813,1.0093,0.3,0.628,0.328,"B"
0.0991,0.2783,0.3017,0.2657,0.3227,0.1791,0.2026,0.1666,0.2236,0.0235,-0.0125,0.0445,-0.036,0.021,0.057,"B"
0.0887,0.2352,0.4658,0.5108,0.5388,0.1465,0.3771,0.4221,0.4501,0.2307,0.2757,0.3037,0.045,0.073,0.028,"B"
0.2122,0.5508,0.6601,0.7321,0.8251,0.3387,0.4479,0.5199,0.6129,0.1092,0.1812,0.2742,0.072,0.165,0.093,"B"
-0.1212,-0.1852,-0.3408,-0.3138,-0.1418,-0.064,-0.2196,-0.1926,-0.0206,-0.1556,-0.1286,0.0434,0.027,0.199,0.172,"B"
0.7603,1.6395,3.3791,3.9341,4.4601,0.8793,2.6188,3.1738,3.6998,1.7396,2.2946,2.8206,0.555,1.081,0.526,"B"
0.3539,0.912,1.6404,1.8424,1.8024,0.5581,1.2865,1.4885,1.4485,0.7283,0.9303,0.8903,0.202,0.162,-0.04,"B"
-0.0498,0.0829,0.2885,0.4535,0.7085,0.1326,0.3383,0.5033,0.7583,0.2057,0.3707,0.6257,0.165,0.42,0.255,"B"
0.4795,1.1253,1.8167,1.9837,2.0777,0.6458,1.3372,1.5042,1.5982,0.6914,0.8584,0.9524,0.167,0.261,0.094,"B"
0.1045,0.3166,0.5142,0.5752,0.8532,0.2121,0.4098,0.4708,0.7488,0.1977,0.2587,0.5367,0.061,0.339,0.278,"B"
-0.0653,-0.2057,-0.2058,-0.1738,-0.1378,-0.1404,-0.1405,-0.1085,-0.0725,-0.0001,0.0319,0.0679,0.032,0.068,0.036,"B"
0.3337,0.8477,1.6192,1.8422,2.0292,0.514,1.2855,1.5085,1.6955,0.7715,0.9945,1.1815,0.223,0.41,0.187,"B"
0.3035,0.7569,1.4842,1.8642,2.1742,0.4534,1.1807,1.5607,1.8707,0.7273,1.1073,1.4173,0.38,0.69,0.31,"B"
0.0021,-0.0348,-0.0925,-0.1375,-0.1235,-0.0369,-0.0945,-0.1395,-0.1255,-0.0577,-0.1027,-0.0887,-0.045,-0.031,0.014,"B"
0.0056,0.0451,0.0036,-0.0434,-0.0294,0.0395,-0.002,-0.049,-0.035,-0.0415,-0.0885,-0.0745,-0.047,-0.033,0.014,"B"
-0.0672,-0.2197,-0.4457,-0.5857,-0.5997,-0.1524,-0.3785,-0.5185,-0.5325,-0.2261,-0.3661,-0.3801,-0.14,-0.154,-0.014,"B"
0.0469,0.131,0.2621,0.2181,0.2661,0.0841,0.2152,0.1712,0.2192,0.1311,0.0871,0.1351,-0.044,0.004,0.048,"B"
-0.0721,0.014,0.1844,0.3034,0.4464,0.0861,0.2565,0.3755,0.5185,0.1704,0.2894,0.4324,0.119,0.262,0.143,"B"
0.0266,0.0985,-0.1512,-0.1802,-0.1292,0.0718,-0.1779,-0.2069,-0.1559,-0.2497,-0.2787,-0.2277,-0.029,0.022,0.051,"B"
0.7037,1.5693,2.6774,3.1524,3.5564,0.8656,1.9738,2.4488,2.8528,1.1081,1.5831,1.9871,0.475,0.879,0.404,"B"
